标题,播放量,点赞数,收藏数,弹幕数,投币数,评论数,分享数,分区,UP主,视频时长(秒),发布时间,发布日期,发布小时,分区大类,标题长度,是否周末,发布时段
友邦惊诧：日本高级护士在吊针里放屎致人死亡,275462.0,21241.0,3068.0,2069.0,1062.0,2526.0,5149.0,社科·法律·心理,波士顿圆脸,920.0,2026-07-16 18:02:00,2026-07-16,18,知识/资讯,21,工作日,晚间(18-23)
万万没想到,1869462.0,137023.0,10445.0,163.0,903.0,1519.0,4717.0,娱乐粉丝创作,阿水想得金马奖_,30.28,2026-07-14 12:14:00,2026-07-14,12,娱乐,5,工作日,午间(12-17)
"""自古英雄出少年.""",3127214.0,286516.0,64453.0,3697.0,17793.0,7824.0,1980.0,音乐综合,我爱吃派大星,309.0,2026-07-14 08:20:00,2026-07-14,8,其他,10,工作日,早间(6-11)
每个寝室都有偷摸吃东西的！,272729.0,26604.0,3289.0,1411.0,1405.0,1161.0,242.0,日常,脱缰凯Kk,190.0,2026-07-16 17:14:00,2026-07-16,17,生活,13,工作日,午间(12-17)
09年高中生带全家勇闯北京,2267617.0,129964.0,89817.0,1351.0,60170.0,716.0,644.0,亲子,不叫睡神,356.0,2026-07-14 17:39:00,2026-07-14,17,生活,13,工作日,午间(12-17)
人有五名，粉毛有三，流萤你不是其中之一,841498.0,102404.0,36363.0,1094.0,4552.0,1466.0,3397.0,搞笑,Syoyo-,85.0,2026-07-15 17:30:00,2026-07-15,17,娱乐,19,工作日,午间(12-17)
在 BW 一决高下！,206811.0,15837.0,1740.0,66.52,1198.0,161.0,47.75,日常,小草莓林杉杉,197.0,2026-07-16 16:56:00,2026-07-16,16,生活,10,工作日,午间(12-17)
【翻唱】《Angel》加长版,550041.0,110430.0,19493.0,187.0,13059.0,656.0,1867.0,翻唱,Yaki_朴朴,98.0,2026-07-11 19:54:00,2026-07-11,19,娱乐,14,周末,晚间(18-23)
【散人】国产民俗恐怖《纸嫁衣9》罗浮梦（P1.迎送）,341161.0,30385.0,8620.0,3641.0,10350.0,2018.0,1927.0,单机游戏,逍遥散人,1965.0,2026-07-16 12:30:00,2026-07-16,12,游戏,26,工作日,午间(12-17)
带小猎豹自律的一天,2420479.0,258557.0,20002.0,1551.0,8934.0,2897.0,2123.0,健身,花小龙oy,213.0,2026-07-14 13:53:00,2026-07-14,13,生活,9,工作日,午间(12-17)
